Date,Open,High,Low,Close,Adj Close,Volume
2020-05-14,0.39,0.39,0.362,0.38,0.38,302890
2020-05-13,0.4,0.4,0.36,0.3715,0.3715,679167
2020-05-12,0.419,0.42,0.385,0.41,0.41,524273
2020-05-11,0.4259,0.4259,0.39,0.4081,0.4081,565534
2020-05-08,0.44,0.44,0.408,0.419,0.419,566183
2020-05-07,0.53,0.54,0.4001,0.43,0.43,2081463
2020-05-06,0.495,0.59,0.47,0.5338,0.5338,2060860
2020-05-05,0.4899,0.5496,0.4389,0.4725,0.4725,979418
2020-05-04,0.48,0.4899,0.46,0.4777,0.4777,229198
2020-05-01,0.495,0.498,0.451,0.47,0.47,300090
2020-04-30,0.44,0.494,0.44,0.494,0.494,526656
2020-04-29,0.435,0.46,0.435,0.44811,0.44811,249990
2020-04-28,0.459,0.469,0.4352,0.45,0.45,178336
2020-04-27,0.45,0.46,0.435,0.4588,0.4588,307691
2020-04-24,0.4699,0.4699,0.4346,0.4499,0.4499,125977
2020-04-23,0.4554,0.48,0.435,0.4499,0.4499,416360
2020-04-22,0.4,0.4879,0.39,0.4433,0.4433,751961
2020-04-21,0.42,0.4261,0.3801,0.39,0.39,305459
2020-04-20,0.435,0.438,0.41,0.4149,0.4149,262693
2020-04-17,0.445,0.4498,0.415,0.4202,0.4202,285614
2020-04-16,0.48,0.5,0.434,0.4437,0.4437,403144
2020-04-15,0.4203,0.4899,0.4,0.465,0.465,619670
2020-04-14,0.4,0.45,0.3629,0.445,0.445,967225
2020-04-13,0.38,0.38,0.36,0.38,0.38,298004
2020-04-09,0.36,0.38,0.35001,0.37,0.37,407992
2020-04-08,0.3351,0.3623,0.33,0.36,0.36,437644
2020-04-07,0.34,0.34,0.3222,0.325101,0.325101,295752
2020-04-06,0.3312,0.3399,0.29,0.3333,0.3333,1017950
2020-04-03,0.3403,0.345,0.3105,0.33,0.33,239626
2020-04-02,0.365,0.376,0.31,0.345,0.345,502156
2020-04-01,0.36,0.38,0.3451,0.36,0.36,445242
2020-03-31,0.36,0.3888,0.341,0.376,0.376,905550
2020-03-30,0.43,0.43,0.35,0.3799,0.3799,1298115
2020-03-27,0.35,0.45,0.335,0.4068,0.4068,1734668
2020-03-26,0.361,0.3689,0.32,0.3456,0.3456,1980903
2020-03-25,0.395,0.395,0.355,0.363,0.363,797719
2020-03-24,0.43,0.43,0.3701,0.3857,0.3857,418504
2020-03-23,0.3682,0.41,0.3621,0.3762,0.3762,394374
2020-03-20,0.4,0.4095,0.355,0.3685,0.3685,718711
2020-03-19,0.39,0.43,0.35,0.4,0.4,505446
2020-03-18,0.487,0.487,0.3801,0.4002,0.4002,1002502
2020-03-17,0.48,0.49,0.4502,0.4632,0.4632,299387
2020-03-16,0.495,0.5,0.45,0.4778,0.4778,612504
2020-03-13,0.55,0.5899,0.4811,0.4961,0.4961,770162
2020-03-12,0.59,0.6,0.51,0.545,0.545,593208
2020-03-11,0.64,0.64,0.6107,0.6107,0.6107,611777
2020-03-10,0.7245,0.7245,0.65,0.6514,0.6514,453536
2020-03-09,0.6597,0.66,0.63,0.65,0.65,669533
2020-03-06,0.65,0.6886,0.65,0.6735,0.6735,627742
2020-03-05,0.688,0.69,0.68,0.68,0.68,354851
2020-03-04,0.6915,0.71,0.68,0.6813,0.6813,389813
2020-03-03,0.718,0.718,0.69,0.6901,0.6901,282035
2020-03-02,0.71,0.748,0.69,0.692,0.692,773349
2020-02-28,0.68,0.68,0.6301,0.656,0.656,1334564
2020-02-27,0.685,0.7056,0.66,0.6782,0.6782,626723
2020-02-26,0.704,0.71,0.69,0.693,0.693,545099
2020-02-25,0.7224,0.724,0.68,0.706,0.706,723595
2020-02-24,0.733,0.734,0.6901,0.701387,0.701387,950582
2020-02-21,0.738,0.741,0.7301,0.734,0.734,417209
2020-02-20,0.77,0.7725,0.735,0.7475,0.7475,1518896
2020-02-19,0.76,0.77,0.725,0.731,0.731,1712815
2020-02-18,0.8,0.8,0.7387,0.7498,0.7498,710447
2020-02-14,0.8072,0.8072,0.730101,0.8001,0.8001,811741
2020-02-13,0.8103,0.8204,0.77,0.7985,0.7985,472199
2020-02-12,0.9025,0.939,0.8005,0.8215,0.8215,2778598
2020-02-11,0.9,0.909931,0.89,0.9,0.9,345767
2020-02-10,0.9,0.9054,0.8801,0.8961,0.8961,329802
2020-02-07,0.9,0.91,0.89,0.9,0.9,1019733
2020-02-06,0.94,0.9425,0.8801,0.8889,0.8889,425895
2020-02-05,0.95,0.95,0.91,0.9275,0.9275,389250
2020-02-04,0.95,0.9599,0.94,0.941,0.941,457252
2020-02-03,0.9594,0.969799,0.94,0.945,0.945,157789
2020-01-31,0.96,0.98,0.95,0.95,0.95,217575
2020-01-30,0.977,1.0,0.94,0.96,0.96,310938
2020-01-29,1.04,1.05,0.97,0.99,0.99,814895
2020-01-28,0.965,1.02,0.94,1.0,1.0,931699
2020-01-27,1.0,1.01,0.91,0.9865,0.9865,498847
2020-01-24,1.04,1.04,1.0,1.0,1.0,588083
2020-01-23,1.06,1.1,1.0,1.04,1.04,1542906
2020-01-22,1.08,1.09,1.03,1.06,1.06,1065782
