Date,Open,High,Low,Close,Adj Close,Volume
2019-12-16,2.61,2.6641,2.58,2.58,2.58,8160
2019-12-13,2.64,2.64,2.5512,2.63,2.63,16263
2019-12-12,2.63,2.7299,2.538,2.638,2.638,14698
2019-12-11,2.7,2.729,2.63,2.675,2.675,12717
2019-12-10,2.8,2.87,2.68,2.7235,2.7235,30263
2019-12-09,2.86,2.95,2.8101,2.9,2.9,18153
2019-12-06,2.83,2.95,2.71,2.8645,2.8645,60964
2019-12-05,2.8,2.88,2.7,2.73,2.73,29170
2019-12-04,2.68,2.7699,2.585,2.6548,2.6548,23313
2019-12-03,2.73,2.73,2.61,2.65,2.65,11595
2019-12-02,2.6,2.69,2.5905,2.608,2.608,14437
2019-11-29,2.66,2.6733,2.56,2.6,2.6,30317
2019-11-27,2.7137,2.7471,2.61,2.62,2.62,15461
2019-11-26,2.74,2.8,2.55,2.635,2.635,25547
2019-11-25,2.78,2.78,2.66,2.69,2.69,9873
2019-11-22,2.69,2.75,2.67,2.6801,2.6801,24390
2019-11-21,2.67,2.79,2.6564,2.6564,2.6564,19034
2019-11-20,2.7,2.86,2.62,2.69,2.69,29302
2019-11-19,2.85,2.9,2.7293,2.75,2.75,54962
2019-11-18,2.7,2.7799,2.62,2.76,2.76,27026
2019-11-15,2.57,2.75,2.57,2.74,2.74,38701
2019-11-14,2.71,2.776,2.56,2.61,2.61,68828
2019-11-13,2.95,2.95,2.61,2.77,2.77,80117
2019-11-12,3.0,3.0594,2.8192,2.93,2.93,86344
2019-11-11,3.05,3.05,2.8701,2.96,2.96,73807
2019-11-08,2.97,3.09,2.97,3.09,3.09,21892
2019-11-07,3.02,3.11,2.965,2.97,2.97,32334
2019-11-06,3.11,3.16,2.95,2.95,2.95,62129
2019-11-05,3.14,3.2362,2.95,3.0,3.0,66206
2019-11-04,3.19,3.3,3.15,3.17,3.17,51434
2019-11-01,3.18,3.27,3.12,3.19,3.19,90220
2019-10-31,3.3267,3.33,3.1304,3.19,3.19,35119
2019-10-30,3.41,3.4483,3.2,3.2,3.2,90050
2019-10-29,3.16,3.8,3.11,3.45,3.45,566236
2019-10-28,3.2,3.29,3.1,3.21,3.21,100736
2019-10-25,3.29,3.36,3.07,3.12,3.12,210548
2019-10-24,3.46,3.47,3.02,3.34,3.34,1216387
2019-10-23,4.5,4.86,2.8,3.24,3.24,11767025
2019-10-22,3.7,3.79,2.15,2.87,2.87,508513
2019-10-21,0.332,0.367,0.332,0.353,3.53,62915
2019-10-18,0.345,0.3499,0.3311,0.3499,3.499,130049
2019-10-17,0.356,0.359,0.3452,0.349232,3.49232,77022
2019-10-16,0.37,0.37,0.33,0.3545,3.545,206323
2019-10-15,0.3761,0.3761,0.36,0.36,3.6,35944
2019-10-14,0.3792,0.387,0.36,0.3761,3.761,133492
2019-10-11,0.38001,0.3899,0.365,0.38,3.8,145831
2019-10-10,0.3769,0.395,0.3614,0.37,3.7,75055
2019-10-09,0.37,0.3999,0.3699,0.376945,3.76945,149287
2019-10-08,0.375,0.375,0.36,0.3641,3.641,79502
